Month,Unemployment Rate
Feb 2020__Unemployed,4.3
Mar 2020__Unemployed,4.5
Apr 2020__Unemployed,16
May 2020__Unemployed,15.6
Jun 2020__Unemployed,14.1
Jul 2020__Unemployed,13.2
Aug 2020__Unemployed,12.3
Sept 2020__Unemployed,10.6
Oct 2020__Unemployed,9.8
Nov 2020__Unemployed,8.7
Dec 2020__Unemployed,9.3
Jan 2021__Unemployed,9
Feb 2021__Unemployed,8.5
Mar 2021__Unemployed,8.3
Apr 2021__Unemployed,8
May 2021__Unemployed,7.7
June 2021__Unemployed,7.6
July 2021__Unemployed,7.6
August 2021__Unemployed,7.5
September 2021__Unemployed,7.5
October 2021__Unemployed,7.3
November 2021__Unemployed,5.8
December 2021__Unemployed,5.8
January 2022__Unemployed,5.7
February 2022__Unemployed,5.4
