Month,Unemployment Rate
Feb 2020 _Unemployed,3.5
Mar 2020_Unemployed,4.4
Apr 2020_ Unemployed,14.7
May 2020_Unemployed,13.3
Jun 2020_Unemployed,11.1
Jul 2020_Unemployed,10.2
Aug 2020_Unemployed,8.4
Sept 2020__Unemployed,7.9
Oct 2020__Unemployed,6.9
Nov 2020__Unemployed,6.7
Dec 2020__Unemployed,6.7
Jan 2021__Unemployed,6.3
Feb 2021__Unemployed,6.2
Mar 2021__Unemployed,6
Apr 2021__Unemployed,6.1
May 2021__Unemployed,5.8
June 2021__Unemployed,5.9
July 2021__Unemployed,5.4
August 2021__Unemployed,5.2
September 2021__Unemployed,4.8
October 2021__Unemployed,4.6
November 2021__Unemployed,4.2
December 2021__Unemployed,3.9
January 2022__Unemployed,4
February 2022__Unemployed,3.8
