Month,Unemployment Rate
Feb 2020__Unemployed,3.3
Mar 2020__Unemployed,4.9
Apr 2020__Unemployed,14
May 2020__Unemployed,14.2
Jun 2020__Unemployed,11.6
Jul 2020__Unemployed,11.5
Aug 2020__Unemployed,7.9
Sept 2020__Unemployed,7.2
Oct 2020__Unemployed,5.8
Nov 2020__Unemployed,5.4
Dec 2020__Unemployed,5.1
Jan 2021__Unemployed,4.8
Feb 2021__Unemployed,4.7
Mar 2021__Unemployed,4.7
Apr 2021__Unemployed,4.8
May 2021__Unemployed,4.9
June 2021__Unemployed,5
July 2021__Unemployed,5.1
August 2021__Unemployed,5
September 2021__Unemployed,4.8
October 2021__Unemployed,4.6
November 2021__Unemployed,3.5
December 2021__Unemployed,3.5
January 2022__Unemployed,3.5
February 2022__Unemployed,3.3
