Month,Unemployment Rate
Feb 2020__Unemployed,3.5
Mar 2020__Unemployed,3.6
Apr 2020__Unemployed,12.5
May 2020__Unemployed,9.4
Jun 2020__Unemployed,8.4
Jul 2020__Unemployed,7.6
Aug 2020__Unemployed,7.6
Sept 2020__Unemployed,6.5
Oct 2020__Unemployed,5.9
Nov 2020__Unemployed,5.6
Dec 2020__Unemployed,5.3
Jan 2021__Unemployed,5.1
Feb 2021__Unemployed,4.8
Mar 2021__Unemployed,4.5
Apr 2021__Unemployed,4.3
May 2021__Unemployed,4.1
June 2021__Unemployed,4
July 2021__Unemployed,3.7
August 2021__Unemployed,3.5
September 2021__Unemployed,3.3
October 2021__Unemployed,3.1
November 2021__Unemployed,3.3
December 2021__Unemployed,3.3
January 2022__Unemployed,3.2
February 2022__Unemployed,3.2
