Month,Unemployment Rate
Feb 2020__Unemployed,3.6
Mar 2020__Unemployed,3.7
Apr 2020__Unemployed,16.5
May 2020__Unemployed,15.4
Jun 2020__Unemployed,14.2
Jul 2020__Unemployed,12
Aug 2020__Unemployed,11.1
Sept 2020__Unemployed,10.4
Oct 2020__Unemployed,8.1
Nov 2020__Unemployed,8.1
Dec 2020__Unemployed,8
Jan 2021__Unemployed,7.7
Feb 2021__Unemployed,7.4
Mar 2021__Unemployed,7.1
Apr 2021__Unemployed,7.1
May 2021__Unemployed,7.1
June 2021__Unemployed,7.2
July 2021__Unemployed,7.1
August 2021__Unemployed,7
September 2021__Unemployed,6.2
October 2021__Unemployed,6
November 2021__Unemployed,5.1
December 2021__Unemployed,5.1
January 2022__Unemployed,5
February 2022__Unemployed,4.8
