Month,Unemployment Rate
Feb 2020__Unemployed,3.3
Mar 2020__Unemployed,3.5
Apr 2020__Unemployed,9
May 2020__Unemployed,11.3
Jun 2020__Unemployed,8.9
Jul 2020__Unemployed,7.6
Aug 2020__Unemployed,6.6
Sept 2020__Unemployed,5.8
Oct 2020__Unemployed,5.3
Nov 2020__Unemployed,5
Dec 2020__Unemployed,4.7
Jan 2021__Unemployed,4.5
Feb 2021__Unemployed,4.4
Mar 2021__Unemployed,4.2
Apr 2021__Unemployed,4.1
"May 2021__Unemployed	",4
June 2021__Unemployed,4
July 2021__Unemployed,3.9
August 2021__Unemployed,3.8
September 2021__Unemployed,3.7
October 2021__Unemployed,3.5
November 2021__Unemployed,3.1
December 2021__Unemployed,3
January 2022__Unemployed,2.9
February 2022__Unemployed,2.7
