Month,Unemployment Rate
Feb 2020__Unemployed,3.9
Mar 2020__Unemployed,3.9
Apr 2020__Unemployed,16.2
May 2020__Unemployed,15.7
Jun 2020__Unemployed,15
Jul 2020__Unemployed,14.7
Aug 2020__Unemployed,11.7
Sept 2020__Unemployed,10
Oct 2020__Unemployed,8.7
Nov 2020__Unemployed,8.7
Dec 2020__Unemployed,8.7
Jan 2021__Unemployed,8.8
Feb 2021__Unemployed,8.9
Mar 2021__Unemployed,8.4
Apr 2021__Unemployed,8.2
May 2021__Unemployed,7.8
June 2021__Unemployed,7.7
July 2021__Unemployed,7.6
August 2021__Unemployed,7.4
September 2021__Unemployed,7.1
October 2021__Unemployed,6.9
November 2021__Unemployed,5.4
December 2021__Unemployed,5.4
January 2022__Unemployed,5.3
February 2022__Unemployed,4.9
