Month,Unemployment Rate
Feb 2020__Unemployed,3.7
Mar 2020__Unemployed,4.9
Apr 2020__Unemployed,12.9
May 2020__Unemployed,11.6
Jun 2020__Unemployed,10.2
Jul 2020__Unemployed,9.3
Aug 2020__Unemployed,6.9
Sept 2020__Unemployed,7.9
Oct 2020__Unemployed,7.3
Nov 2020__Unemployed,7.2
Dec 2020__Unemployed,6.9
Jan 2021__Unemployed,6.8
Feb 2021__Unemployed,6.9
Mar 2021__Unemployed,6.9
Apr 2021__Unemployed,6.7
May 2021__Unemployed,6.6
June 2021__Unemployed,6.5
July 2021__Unemployed,6.2
August 2021__Unemployed,5.9
September 2021__Unemployed,5.6
October 2021__Unemployed,5.4
November 2021__Unemployed,4.9
December 2021__Unemployed,4.8
January 2022__Unemployed,4.8
February 2022__Unemployed,4.7
