Month,Unemployment Rate
Feb 2020__Unemployed,4.1
Mar 2020__Unemployed,5.3
Apr 2020__Unemployed,16.3
May 2020__Unemployed,12.5
Jun 2020__Unemployed,10.8
Jul 2020__Unemployed,10.8
Aug 2020__Unemployed,9.1
Sept 2020__Unemployed,8
Oct 2020__Unemployed,7
Nov 2020__Unemployed,6.7
Dec 2020__Unemployed,6.3
Jan 2021__Unemployed,6
Feb 2021__Unemployed,5.6
Mar 2021__Unemployed,5.5
Apr 2021__Unemployed,5.4
May 2021__Unemployed,5.2
June 2021__Unemployed,5.2
July 2021__Unemployed,5.1
August 2021__Unemployed,5.1
September 2021__Unemployed,5.1
October 2021__Unemployed,5
November 2021__Unemployed,4.5
December 2021__Unemployed,4.5
January 2022__Unemployed,4.4
February 2022__Unemployed,4.3
